EventName,MovieName,MovieClosedCaption,MovieRating,Location,Location Notes,StartDate,EndDate,Zipcode,Phone,ContactName,ContactEmail,EventUrl,ParkUrl,Location 1,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Movies in the Parks at Normandy,The Peanuts Movie,Yes,G,Normandy Playground Park,NULL,,,60638,(773) 229-1421,Kathy Murray,Kathleen.Murray@chicagoparkdistrict.com,,,"6660 W. 52nd St.
Chicago, IL
(41.797751, -87.788917)",7,53,22268,588,8,35
Movies in the Parks at Maggie Daley,The Lego Movie,Yes,PG,Maggie Daley Park,NULL,,,60601,(312) 742-3918,Jackie Guthrie,jacqueline.guthrie@chicagoparkdistrict.com,,,"337 E. Randolph St.
Chicago, IL
(41.884353, -87.620091)",41,38,14309,580,36,22
Movies in the Parks at Midway Plaisance,E.T. The Extra-Terrestrial,Yes,PG,Midway Plaisance Park,NULL,,,60637,(312) 745-2470,Rick Shaheen,Rick.Shaheen@chicagoparkdistrict.com,,,"1130 Midway Plaisance North
Chicago, IL",,,,,,
Movies in the Parks at Franklin,Ant-Man,Yes,PG-13,Franklin Park,NULL,,,60623,(312) 747-7676,Jacquelyn Anderson,,,,"4320 W. 15th St.
Chicago, IL
(41.860599, -87.733411)",57,30,21569,761,14,36
Movies in the Parks at Wilson (Frank J.),Ferris Bueller's Day Off,Yes,PG-13,Wilson Frank J. Park,NULL,,,60630,(773) 685-6454,Sherida Hudak,sherida.hudak@chicagoparkdistrict.com,,,"4630 N. Milwaukee Ave.
Chicago, IL
(41.964779, -87.758046)",48,15,21869,260,50,20
Movies in the Parks at Athletic Field,Zootopia,N/A,PG,Athletic Field Park,NULL,,,60618,(773) 478-2889,Gualberto Roldan,,,,"3546 W. Addison St.
Chicago, IL
(41.946538, -87.715942)",39,16,21538,325,12,15
Movies in the Parks at Revere,Raiders of the Lost Ark,Yes,PG,Revere Park,NULL,,,60618,(773) 478-1220,Greg Czajkowski,gregory.czajkowski@chicagoparkdistict.com,,,"2509 W. Irving Park Rd.
Chicago, IL
(41.95398, -87.691084)",39,46,21538,110,18,13
Movies in the Parks at Lake Shore,Jurassic World,N/A,PG-13,Lake Shore Park,NULL,,,60611,(312) 742-7891,Michael Mucci,michael.mucci@chicagoparkdistrict.com,,,"808 N. Lake Shore Dr.
Chicago, IL
(41.897212, -87.617298)",6,37,21182,233,11,22
Movies in the Parks at Cole,The SpongeBob Movie: Sponge Out of Water,Yes,PG,Nat King Cole Park,NULL,,,60619,(312) 747-6063,Gene Morgan,Gene.Morgan@chicagoparkdistrict.com,,,"361 E. 85th St.
Chicago, IL
(41.740144, -87.615445)",61,40,21546,406,32,31
Movies in the Parks at Dawes,War Room,Yes,PG,Dawes Park,NULL,,,60620,(312) 747-6108,Angela Jackson,angela.jackson@chicagoparkdistrict.com,,,"8052 S. Damen Ave.
Chicago, IL
(41.747193, -87.673082)",59,70,21554,574,30,6
Movies in the Parks at Olympia,Shaun the Sheep,Yes,PG,Olympia Park,NULL,,,60631,(773) 631-6861,Jim Ziaja,,,,"6566 N. Avondale Ave.
Chicago, IL
(41.999736, -87.814958)",17,77,22243,655,29,34
Movies in the Parks at Wicker,Star Trek (2009),Yes,PG-13,Wicker Park,NULL,,,60622,(312) 742-7553,"Claribel ""Clare"" Rodriguez",claribel.rodriguez@chicagoparkdistrict.com,,,"1425 N. Damen Avenue
Chicago, IL
(41.90763, -87.677389)",4,25,21560,481,41,24
Movies in the Parks at Chicago History,Ferris Bueller's Day Off,Yes,PG-13,Lincoln Park,Movie showing on the patio behind the Chicago History Museum.,,,60614,(312) 742-7726 ,Lauren Quinn,,,,"500-5700 N. Lake Shore Drive
Chicago, IL
(41.89111, -87.6143)",6,37,21182,534,36,22
Movie at the DuSable Museum,Creed,N/A,PG-13,Washington Park,NULL,,,60637,(773) 256-1248,Janie M. Collins,janie.collins@chicagoparkdistrict.com,,,"5531 S. Martin Luther King Dr.
Chicago, IL",,,,,,
Movies in the Parks at Wicker,Edward Scissorhands,Yes,PG-13,Wicker Park,NULL,,,60622,(312) 742-7553,"Claribel ""Clare"" Rodriguez",claribel.rodriguez@chicagoparkdistrict.com,,,"1425 N. Damen Avenue
Chicago, IL
(41.90763, -87.677389)",4,25,21560,481,41,24
Movies in the Parks at Harold Washington,West Side Story,Yes,NR,Harold Washington Playlot Park,Movie showing northeast of S. Hyde Park Blvd. and E. 53rd St.,,,60615,(312) 747-6620 ,Nichols Park (Ayanna Nikki Peters),ayanna.peters@chicagoparkdistrict.com,,,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.800598, -87.584362)",10,8,21192,405,33,1
Movies in the Parks at Loyola,Gabo: La Magia de lo Real (Gabo: The Creation of Gabriel Garcia Marquez),No,NR,Loyola Park,Movie showing in the lawn at Farwell Ave.,,,60626,(773) 262-8605,Mary Hopkins,mary.hopkins@chicagoparkdistrict.com,,,"1230 W. Greenleaf Ave.
Chicago, IL
(42.01044, -87.661298)",9,10,21853,267,5,3
Movies in the Parks at Ping Tom,Jurassic World,Yes,PG-13,Ping Tom Memorial Park,NULL,,,60616,(312) 225-3121,vacant,,,,"1700 S. Wentworth Ave.
Chicago, IL
(41.858695, -87.6319)",40,34,21194,330,26,8
Movies in the Parks at Calumet,Minions,Yes,PG,Calumet Park,Movie showing east of the Calumet Park Fieldhouse.,,,60617,(312) 747-6039,Demitrice Seaton,demitrice.seaton@chicagoparkdistrict.com,,,"9801 S. Avenue G
Chicago, IL
(41.717823, -87.531589)",25,49,21202,705,47,47
Movies in the Parks at Abbott,Home,Yes,PG,Abbott Park,NULL,,,60628,(312) 747-6001,Shreece Childs,shreece.childs@chicagoparkdistrict.com,,,"49 E. 95th St.
Chicago, IL
(41.721687, -87.622358)",19,45,21546,567,43,31
Movies in the Parks at Pottawattomie,The Goonies,Yes,PG,Pottawattomie Park,NULL,,,60626,(773) 262-5835,Barbara Dever,barbara.dever@chicagoparkdistrict.com,,,"7340 N. Rogers Ave.
Chicago, IL
(42.014685, -87.678148)",9,10,21853,52,5,3
Movies in the Parks at Winnemac,Angels in the Outfield,Yes,PG,Winnemac Park,NULL,,,60625,(312) 742-5101,Lisa Ragucci,lisa.ragucci@chicagoparkdistrict.com,,,"5100 N. Leavitt St.
Chicago, IL
(41.974286, -87.684226)",20,6,21849,106,24,13
Movies in the Parks at Riis,The Good Dinosaur,Yes,PG,Riis Park,NULL,,,60639,(312) 746-5363 ,Keith Hammerberg,keith.hammerberg@chicagoparkdistrict.com,,,"6100 W. Fullerton Ave.
Chicago, IL
(41.923817, -87.779347)",2,19,22615,78,21,52
Movies in the Parks at Senn,Hotel Transylvania,Yes,PG,Senn Playlot Park,NULL,,,60660,(312) 742-7502 ,Nick Bojko    (Broadway Armory Park),nick.bojko@chicagoparkdistrict.com,,,"5887 N. Ridge Ave.
Chicago, IL
(41.988713, -87.668464)",14,76,4451,539,16,40
Movies in the Parks at Chase,Teen Wolf,N/A,PG,Chase Park,NULL,,,60640,(312) 742-7518,Katie Fearon-Peon,,,,"4701 N. Ashland Ave.
Chicago, IL
(41.967098, -87.669326)",15,31,22616,559,18,13
Movies in the Parks at Burroughs Beach,Chitty Chitty Bang Bang,Yes,G,Burroughs (Margaret) Beach Park,Movie showing south of the skate park at Burroughs Beach.,,,60616,(312) 742-5121,Keith Jones (Williams Park),keith.jones@chicagoparkdistrict.com,,,"3100 S. Lake Shore Dr.
Chicago, IL
(41.841399, -87.609193)",40,1,21194,560,10,1
Movies in the Parks at Jonquil,Captain America: The First Avenger,Yes,PG-13,Jonquil Park,NULL,,,60614,(312) 742-7816 ,Ariel Hernandez  (Wrightwood Park),,,,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34,16
Movies in the Parks at Jonquil,Rookie of the Year,Yes,PG,Jonquil Park,NULL,,,60614,(312) 742-7816 ,Ariel Hernandez  (Wrightwood Park),,,,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34,16
Movies in the Parks at Jensen,The Lego Movie,Yes,PG,Jensen Park,NULL,,,60625,(312) 742-7054,Gerald Pistone,Gerald.Pistone@Chicagoparkdistrict.com,,,"4650 N. Lawndale Ave.
Chicago, IL
(41.9657, -87.720608)",20,14,21849,119,12,2
Movies in the Parks at Welles,Grease,Yes,PG-13,Welles Park,NULL,,,60625,(312) 742-7511,Becky Kliber,becky.kliber@sbcglobal.net,,,"2333 W. Sunnyside Ave.
Chicago, IL
(41.963176, -87.687282)",20,6,21849,667,18,13
Movies in the Parks at Senka,Minions,Yes,PG,Senka Park,NULL,,,60629,(312) 747-4386,Maria Abreu,maria.abreu@chicagoparkdistrict.com,,,"5656 S. St. Louis Ave.
Chicago, IL
(41.790475, -87.710771)",58,61,21867,801,8,49
Movies in the Parks at Lake Shore,The Martian,Yes,PG-13,Lake Shore Park,NULL,,,60611,(312) 742-7891,Michael Mucci,michael.mucci@chicagoparkdistrict.com,,,"808 N. Lake Shore Dr.
Chicago, IL
(41.897212, -87.617298)",6,37,21182,233,11,22
Movies In The Parks at Lowe,Jurassic World ,N/A,PG-13,Lowe Playground Park,NULL,,,60609,(312) 747-6445,David Reed ,david.reed@chicagoparkdistrict.com,,,"5203 S. Lowe Ave.
Chicago, IL
(41.799823, -87.641609)",37,59,14924,84,9,12
Movies in the Parks at Amundsen,Teenage Mutant Ninja Turtles (2014),Yes,PG-13,Amundsen Park,NULL,,,60639,(312) 746-5003,"Delonese ""Neicy"" Robinson ",,,,"6200 W. Bloomingdale Ave.
Chicago, IL
(41.912867, -87.78023)",2,26,22615,597,7,52
Movies in the Parks at Harold Washington,Entre Les Murs,Yes,PG-13,Harold Washington Playlot Park,Movie showing northeast of S. Hyde Park Blvd. and E. 53rd St.,,,60615,(312) 747-6620 ,Nichols Park (Ayanna Nikki Peters),ayanna.peters@chicagoparkdistrict.com,,,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.800598, -87.584362)",10,8,21192,405,33,1
Movies In The Parks at Lindblom,Car Wash ,N/A,PG,Lindblom Park,NULL,,,60636,(312) 747-6443,Maceo Johnson,maceo.johnson@chicagoparkdistrict.com,,,"6054 S. Damen Ave.
Chicago, IL
(41.783375, -87.67402)",23,65,22257,274,2,44
Movies in the Parks at Wilson (John P.),Jailhouse Rock,Yes,NR,Wilson (John P.) Park,NULL,,,60608,(312) 747-7002,Gina Arredia,gina.arredia@chicagoparkdistrict.com,,,"1122 W. 34th Pl.
Chicago, IL
(41.831559, -87.654415)",43,58,14920,171,48,26
Movies in the Parks at Oz,Raiders of the Lost Ark,Yes,PG,Oz Park,NULL,,,60614,(312) 742-7898,Adele Bach,adele.bach@chicagoparkdistrict.com,,,"2021 N. Burling St.
Chicago, IL
(41.919045, -87.647303)",16,68,21190,798,34,51
Movies in the Parks at Euclid,San Andreas,Yes,PG-13,Euclid Park,NULL,,,60628,(312) 747-6124,Leonard Langdon,leonard.langdon@chicagoparkdistrict.com,,,"9800 S. Parnell Ave.
Chicago, IL
(41.715528, -87.637013)",19,72,21861,593,22,18
Movies in the Parks at West Lawn,Hotel Transylvania 2,Yes,PG,West Lawn Park,NULL,,,60629,(773) 284-2803,Paul Pope,paul.pope@chicagoparkdistrict.com,,,"4233 W. 65th St.
Chicago, IL
(41.774944, -87.728188)",58,63,21867,6,15,23
Movies in the Parks at Chicago History,The Fugitive,Yes,PG-13,Lincoln Park,Movie showing on the patio behind the Chicago History Museum.,,,60614,(312) 742-7726 ,Lauren Quinn,,,,"500-5700 N. Lake Shore Drive
Chicago, IL
(41.89111, -87.6143)",6,37,21182,534,36,22
Movies in the Parks at Touhy-Herbert,Jurassic World,Yes,PG-13,Touhy-Herbert Park,NULL,,,60612,(312) 746-5560,Maques Johnson   (Skinner Park),marques.johnson@chicagoparkdistrict.com,,,"2106 W. Adams St.
Chicago, IL
(41.878695, -87.679552)",28,29,21184,89,46,48
Movies in the Parks at Kells,Inside Out,Yes,PG,Kells Playground Park,NULL,,,60624,(312) 742-7544,Maria Garduno (Augusta Park),maria.garduno@chicagoparkdistrict.com,,,"3201 W. Chicago Ave.
Chicago, IL
(41.895563, -87.706576)",5,24,4299,150,46,41
Movies in the Parks at Bradley,War Room,Yes,PG,Bradley Park,NULL,,,60617,(312) 747-6022,Cheryl Alli,cheryl.alli@chicagoparkdistrict.com,,,"9729 S Yates Ave
Chicago, IL",,,,,,
Movies in the Parks at Touhy,Ferris Bueller's Day Off ,N/A,PG,Touhy Park,NULL,,,60626,(773) 262-6737,Kristen Rezny,,,,"7348 N. Paulina St.
Chicago, IL
(42.015341, -87.672446)",9,10,21853,489,5,3
Movies in the Parks at Cornell Square,Minions,Yes,PG,Cornell Square Park,NULL,,,60609,(312) 747-6097,Craig Bandyk,louis.alvarado@chicagoparkdistrict.com,,,"1809 W. 50th St.
Chicago, IL
(41.803113, -87.670689)",37,59,14924,709,3,19
Movies in the Parks at Fosco,The Peanuts Movie,Yes,G,Fosco Park,NULL,,,60608,(312) 746-5086,Obi Allmon,obi.allmon@chicagoparkdistrict.com,,,"1312 S. Racine Ave.
Chicago, IL
(41.86495, -87.656616)",43,29,14920,760,26,48
Midweek on the Midway at Midway Plaisance,Inside Out,N/A,PG,Midway Plaisance Park,NULL,,,60637,(312) 745-2470,Rick Shaheen,Rick.Shaheen@chicagoparkdistrict.com,,,"1130 Midway Plaisance North
Chicago, IL",,,,,,
Movies in the Parks at Wicker,Mermaids,Yes,PG-13,Wicker Park,NULL,,,60622,(312) 742-7553,"Claribel ""Clare"" Rodriguez",claribel.rodriguez@chicagoparkdistrict.com,,,"1425 N. Damen Avenue
Chicago, IL
(41.90763, -87.677389)",4,25,21560,481,41,24
Movies in the Parks at Maplewood,A Bug's Life,N/A,PG,Maplewood Park,NULL,,,60647,(312) 742-0041 ,Tiffany Kessel,,,,"1640 N. Maplewood Ave.
Chicago, IL
(41.911016, -87.690906)",1,25,22535,287,41,24
Movies in the Parks at Harrison,Gabo: La Magia de lo Real (Gabo: The Creation of Gabriel Garcia Marquez),No,NR,Harrison Park,NULL,,,60608,(312) 746-5491,Tony Gonzales,tony.gonzales@chicagoparkdistrict.com,,,"1824 S. Wood St.
Chicago, IL
(41.856811, -87.671063)",43,33,14920,343,26,8
Movies in the Parks at Ridge,Goosebumps,Yes,PG,Ridge Park,NULL,,,60643,(312) 747-6640,Dan Ryan ,dan.ryan@chicagoparkdistrict.com,,,"9625 S. Longwood Dr.
Chicago, IL
(41.718868, -87.669072)",13,71,22212,628,42,33
Movies in the Parks at Sauganash,Star Wars: The Force Awakens,Yes,PG-13,Sauganash Park,NULL,,,60646,(773) 685-6122,Kara Donaldson,,,,"5861 N. Kostner Ave.
Chicago, IL
(41.987404, -87.738313)",18,12,22532,713,38,28
Movies in the Parks at Columbus,Pitch Perfect 2,Yes,PG-13,Columbus Park,NULL,,,60644,(773) 287-7641,Jeanette Stovall ,jeanette.stovall@chicagoparkdistrict.com,,,"500 S. Central Ave.
Chicago, IL
(41.873838, -87.76459)",32,26,22216,68,7,52
Movies in the Parks at Chicago Women's,The Wizard of Oz,Yes,G,Chicago Women's Park and Gardens,NULL,,,60616,(312) 328-0821,Sarah Unz,sarah.unz@chicagoparkdistrict.com,,,"1801 S. Indiana Ave.
Chicago, IL
(41.857935, -87.622279)",40,34,21194,374,9,48
Movies in the Parks at Adams,Inside Out,N/A,PG,Adams Playground Park,NULL,,,60614,(312) 742-7787,Maureen Belling,maureen.belling@chicagoparkdistrict.com,,,"1919 N. Seminary Ave.
Chicago, IL
(41.916495, -87.655352)",16,68,21190,168,34,16
Movies in the Parks at Bartelme,The Sandlot,Yes,PG,"Bartelme, Mary Park",NULL,,,60607,(312) 746-5494 ,Tony Fitzgerald  (Union),tony.fitzgerald@chicagoparkdistrict.com,,,"115 S. Sangamon St.
Chicago, IL
(41.879642, -87.650804)",44,29,14917,91,26,48
Movies in the Parks at Lawler,Inside Out,Yes,PG,Lawler Park,NULL,,,60638,(773) 284-7328,Nancy Ursetta,nancy.ursetta@chicagoparkdistrict.com,,,"5210 W. 64th St.
Chicago, IL
(41.775988, -87.752314)",7,62,22268,337,15,23
Movies in the Parks at Burroughs Beach,Breakfast at Tiffany's,Yes,NR,Burroughs (Margaret) Beach Park,Movie showing south of the skate park at Burroughs Beach.,,,60616,(312) 742-5121,Keith Jones (Williams Park),keith.jones@chicagoparkdistrict.com,,,"3100 S. Lake Shore Dr.
Chicago, IL
(41.841399, -87.609193)",40,1,21194,560,10,1
Movies in the Parks at River,Inside Out,Yes,PG,River Park,NULL,,,60625,(312) 742-7516,Vera Onate,vera.onate@chicagoparkdistrict.com,,,"5100 N. Francisco Ave.
Chicago, IL
(41.973861, -87.701292)",20,6,21849,620,24,46
Movies in the Parks at Commercial Club,Pixels,Yes,PG-13,Commercial Club Playground,NULL,,,60622,(312) 742-7558,Shandrel Young,shandrel.young@chicagoparkdistrict.com,,,"1845 W. Rice St.
Chicago, IL
(41.896879, -87.673798)",4,25,21560,462,41,24
Movies in the Parks at Austin Town Hall,Jurassic World,Yes,PG-13,Austin Town Hall Park,NULL,,,60644,(773) 287-7658,Tebrena Howard ,tebrena.howard@chicagoparkdistrict.com,,,"5610 W. Lake St.
Chicago, IL
(41.887277, -87.766268)",32,26,22216,618,7,52
Movies in the Parks at Montgomery Ward,Dirty Dancing,Yes,PG-13,Ward (Aaron Montgomery) Park,NULL,,,60606,(312) 742-7895,Joyce Freeman-Herron,joyce.herron@chicagoparkdistrict.com,,,"630 N. Kingsbury St.
Chicago, IL
(41.892878, -87.640952)",55,37,4446,652,36,22
Movies in the Parks at Avondale,Daddy Day Care,Yes,PG,Avondale Park,NULL,,,60618,(773) 478-1410,Paul Serritella,,,,"3516 W. School St.
Chicago, IL
(41.941088, -87.714)",39,22,21538,138,12,15
Movies in the Parks at Davis Square,The Mighty Ducks,Yes,PG,Davis Square Park,NULL,,,60609,(312) 747-6107 ,vacant,leobardo.pulido@chicagoparkdistrict.com,,,"4430 S. Marshfield Ave.
Chicago, IL
(41.813515, -87.666312)",37,59,14924,706,3,29
Movies in the Parks at Taylor-Lauridsen,Teenage Mutant Ninja Turtles (2014),Yes,PG-13,Taylor-Lauridsen Playground Park,NULL,,,60609,(312) 747-6729,Tricia Boruta,albert.mikuzis@chicagoparkdistrict.com,,,"704 W. 42nd St.
Chicago, IL
(41.817588, -87.643286)",37,59,14924,123,48,26
Movies in the Parks at Mann,The Peanuts Movie,Yes,G,Mann Park,NULL,,,60633,(773) 646-0210,Erin M. Joyce,erin.joyce@chicagoparkdistrict.com,,,"3035 E. 130th St.
Chicago, IL
(41.659159, -87.5502)",26,52,22250,586,47,47
Movies in the Parks at Gompers,A League of Their Own,N/A,PG,Gompers Park,NULL,,,60630,(773) 685-3270,Denise Raymond,denise.raymond@chicagoparkdistrict.com,,,"4222 W. Foster Ave.
Chicago, IL
(41.97542, -87.734518)",48,14,21869,751,38,28
Movies in the Parks at Archer,The Good Dinosaur,Yes,PG,Archer Park,NULL,,,60632,(773) 284-7029,Roland Konow,roland.konow@chicagoparkdistrict.com,,,"4901 S. Kilbourn Ave.
Chicago, IL
(41.803782, -87.735659)",56,54,22248,697,8,35
Movies in the Parks at Wicker,Beetlejuice,Yes,PG,Wicker Park,NULL,,,60622,(312) 742-7553,"Claribel ""Clare"" Rodriguez",claribel.rodriguez@chicagoparkdistrict.com,,,"1425 N. Damen Avenue
Chicago, IL
(41.90763, -87.677389)",4,25,21560,481,41,24
Midweek on the Midway at Midway Plaisance,Dr. Seuss' The Lorax,N/A,PG,Midway Plaisance Park,NULL,,,60637,(312) 745-2470,Rick Shaheen,Rick.Shaheen@chicagoparkdistrict.com,,,"1130 Midway Plaisance North
Chicago, IL",,,,,,
Movies in the Parks at Montgomery Ward,The Intern,Yes,PG-13,Ward (Aaron Montgomery) Park,NULL,,,60606,(312) 742-7895,Joyce Freeman-Herron,joyce.herron@chicagoparkdistrict.com,,,"630 N. Kingsbury St.
Chicago, IL
(41.892878, -87.640952)",55,37,4446,652,36,22
Movies in the Parks at Calumet,Club Frontera,No,NR,Calumet Park,Movie showing east of the Calumet Park Fieldhouse.,,,60617,(312) 747-6039,Demitrice Seaton,demitrice.seaton@chicagoparkdistrict.com,,,"9801 S. Avenue G
Chicago, IL
(41.717823, -87.531589)",25,49,21202,705,47,47
Movies in the Parks at Hollywood,Ronaldo,Yes,PG-13,Hollywood Park,NULL,,,60659,(773) 478-3482,Jeff MacDonald,,,,"3312 W. Thorndale Ave.
Chicago, IL
(41.988473, -87.71257)",50,13,4450,799,38,28
Movies in the Parks at Kosciuszko,Max (2015),Yes,PG,Kosciuszko Park,NULL,,,60647,(312) 742-7546 ,Rebecca Tirado,rebecca.tirado@chicagoparkdistrict.com,,,"2732 N. Avers Ave.
Chicago, IL
(41.93101, -87.723287)",1,23,22535,107,17,15
Movies in the Parks at Lindblom,Ghost,Yes,PG-13,Lindblom Park,NULL,,,60636,(312) 747-6443,Maceo Johnson,maceo.johnson@chicagoparkdistrict.com,,,"6054 S. Damen Ave.
Chicago, IL
(41.783375, -87.67402)",23,65,22257,274,2,44
Movies in the Parks at Chicago Women's,Zootopia,Yes,PG,Chicago Women's Park and Gardens,NULL,,,60616,(312) 328-0821,Sarah Unz,sarah.unz@chicagoparkdistrict.com,,,"1801 S. Indiana Ave.
Chicago, IL
(41.857935, -87.622279)",40,34,21194,374,9,48
Movies in the Parks at Gross,Guardians of the Galaxy,Yes,PG-13,Gross Park,NULL,,,60625,(312) 742-7528,Mark Naumiec,mark.naumiec@chicagoparkdistrict.com,,,"2708 W. Lawrence Ave.
Chicago, IL
(41.968581, -87.696593)",20,6,21849,28,24,46
Movies in the Parks at Jonquil,Jurassic Park,Yes,PG-13,Jonquil Park,NULL,,,60614,(312) 742-7816 ,Ariel Hernandez  (Wrightwood Park),,,,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34,16
Movies in the Parks at Eckhart,Spaceballs,Yes,PG,Eckhart Park,NULL,,,60653,(312) 746-5490,Melody Mitchell,Melody.Mitchell@chicagoparkdistrict.com,,,"1330 W. Chicago Ave.
Chicago, IL
(41.896208, -87.660751)",49,25,22620,109,46,41
Movies In The Parks at Sherwood,Sparkle (2012),N/A,PG-13,Sherwood Park,NULL,,,60621,(773) 256-0926,Stacey Lowe,stacey.lowe@chicagoparkdistrict.com,,,"5701 S. Shields Ave.
Chicago, IL
(41.790484, -87.634039)",11,66,21559,166,4,53
Movies in the Parks at Kedvale,Jurassic World,Yes,PG-13,Kedvale Park,NULL,,,60651,(312) 742-7543,Daniel Hernandez,daniel.hernandez@chicagoparkdistrict.com,,,"4134 W. Hirsch St.
Chicago, IL
(41.906237, -87.730323)",5,24,4299,286,49,4
Movies in the Parks at Bell,Frozen,Yes,PG,Bell Park,NULL,,,60634,(312) 746-5008,Amanda Burke ,,,,"3020 N. Oak Park Ave.
Chicago, IL
(41.935253, -87.795593)",52,18,22254,397,44,39
Movies in the Parks at Osterman Beach,Les Demoiselles de Rochefort,No,G,Kathy Osterman Beach,"Movie showing north of Bryn Mawr Ave., east of Lake Shore Drive.",,,60660,(312) 742-5121,NULL,,,,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,,
Movies in the Parks at Harris,Goosebumps,Yes,PG,Harris Park,NULL,,,60637,(312) 747-2706 ,Gerald Washington,gerald.washington@chicagoparkdistrict.com,,,"6200 S. Drexel Ave.
Chicago, IL
(41.782258, -87.604362)",60,9,22260,470,4,53
Movies in the Parks at Peterson,Maze Runner: The Scorch Trials,Yes,PG-13,Peterson Park,NULL,,,60646,(312) 742-7584,Kiala Moore,kiala.moore@chicagoparkdistrict.com,,,"5801 N. Pulaski Rd.
Chicago, IL
(41.986333, -87.728537)",18,13,22532,748,38,28
Movies in the Parks at Armstrong,Minions,Yes,PG,Armstrong Park,NULL,,,60653,(312) 747-7138 ,Renee Shepherd  (Kennicott Park),renee.shepherd@chicagoparkdistrict.com,,,"4433 S. St. Lawrence Ave.
Chicago, IL
(41.813933, -87.611578)",36,4,4301,161,9,12
Movies in the Parks at Blackhawk,Rio 2,Yes,G,Blackhawk Park,NULL,,,60639,(312) 746-5014,Sean Ortiz,,,,"2318 N. Lavergne Ave.
Chicago, IL
(41.923288, -87.751205)",2,19,22615,306,44,7
