StartDate,ParkName,Phone,MovieName,MovieClosedCaption,MovieRating,ParkAddress,CommunityAreas,ZipCode,Wards,Year,Weekday,longitude,latitude,month
2014-08-23,Oz Park,(312) 742-7898,The Wizard of Oz,Yes,PG,"2021 N. Burling St. Chicago IL 60614
Chicago, IL 60614
(41.92099187, -87.64469862)",68,60614,34,2014,Saturday,-87.6456607,41.9208947,Aug
2014-06-07,Edgebrook Park,(773) 631-7461,A League of Their Own,N/A,PG,"6525 N. Hiawatha Ave. Chicago IL 60646
Chicago, IL 60646
(41.99946594, -87.76202393)",12,60646,29,2014,Saturday,-87.7616809,42.0007011,Jun
2014-06-28,Armour Square Park,(312) 747-6012,Willy Wonka & the Chocolate Factory,Yes,G,"3309 S Shields Ave Chicago, IL 60616
Chicago, IL 60616
(41.83438492, -87.63520813)",35,60616,48,2014,Saturday,-87.6339586,41.8335824,Jun
2014-08-30,Horner Park,(773) 478-3499,The Wizard of Oz,Yes,PG,"2741 W. Montrose Ave. Chicago IL 60618
Chicago, IL 60618
(41.96125412, -87.69841003)",14,60618,20,2014,Saturday,-87.6963721,41.9577997,Aug
2014-07-20,Jonquil Playlot Park,(312) 742-7816,Ghostbusters,Yes,PG,"1001 W. Wrightwood Ave. Chicago IL 60614
Chicago, IL 60614
(41.92899323, -87.65377045)",68,60614,34,2014,Sunday,-87.6545678,41.9284789,Jul
2014-08-28,Mandrake Park,(312) 656-0423 (Ellis Park in Dolittle School),The Muppet Movie,Yes,G,"900 E. Pershing Rd. Chicago IL 60653
Chicago, IL 60653
(41.82370758, -87.60727692)",4,60653,10,2014,Thursday,-87.607035,41.8233375,Aug
2014-08-26,"Ward, A. Montgomery Park",(312) 742-7895,The Lego Movie,Yes,PG,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)",37,60606,36,2014,Tuesday,-87.6422346,41.89351,Aug
2014-07-10,O'Hallaren Park,(312) 747-6573,Gravity,No,PG-13,"8335 S. Honore St. Chicago IL 60620
Chicago, IL 60620
(41.74268341, -87.66927338)",70,60620,13,2014,Thursday,-87.6692438,41.7420613,Jul
2014-07-25,Athletic Field Park,(773) 478-2889,The Perfect Game,N/A,PG,"3546 W Addison St Chicago, IL 60618
Chicago, IL 60618
(41.94668198, -87.71703339)",16,60618,12,2014,Friday,-87.7170061,41.9475944,Jul
2014-06-12,Jefferson Memorial Park,(773) 685-3316,Monster University,N/A,PG,"4822 N. Long Ave. Chicago IL 60630
Chicago, IL 60630
(41.96814728, -87.76294708)",11,60630,50,2014,Thursday,-79.978425,40.3359595,Jun
2014-06-27,Athletic Field Park,(773) 478-2889,Newsies,N/A,PG,"3546 W Addison St Chicago, IL 60618
Chicago, IL 60618
(41.94668198, -87.71703339)",16,60618,12,2014,Friday,-87.7170061,41.9475944,Jun
2014-08-08,Wrightwood Park,(312) 742-7816,The Goonies,Yes,PG,"2534 N Greenview Ave Chicago, IL 60614
Chicago, IL 60614
(41.92774582, -87.66582489)",68,60614,11,2014,Friday,-87.6664639,41.9282184,Aug
2014-08-02,Ada Park,(312) 747-6002,42,Yes,PG-13,"11250 S Ada St Chicago, IL 60643
Chicago, IL 60643
(41.68910599, -87.65565491)",74,60643,22,2014,Saturday,-87.6537751,41.6884791,Aug
2014-06-25,Portage Park,(773) 685-7235,Monster University,N/A,G,"4100 N Long Ave Chicago, IL 60641
Chicago, IL 60641
(41.95508957, -87.76216125)",15,60641,19,2014,Wednesday,-87.7645576,41.953217,Jun
2014-06-15,Midway Plaisance Park,(312) 745-2470,Patang,No,NR,"1130 Midway Plaisance North Chicago IL 60637
Chicago, IL 60637
(41.78723526, -87.59635162)",8,60637,33,2014,Sunday,-87.593919,41.7868907,Jun
2014-08-08,Franklin Park,(312) 747-7676,The Hunger Games: Catching Fire,Yes,PG-13,"4320 W. 15th St. Chicago IL 60623
Chicago, IL 60623
(41.86061478, -87.73335266)",30,60623,14,2014,Friday,-87.879523,41.9348537,Aug
2014-08-24,Hamilton Park,(312) 747-6174,The Help,Yes,PG-13,"513 W. 72nd St. Chicago IL 60621
Chicago, IL 60621
(41.76344299, -87.63769531)",66,60621,32,2014,Sunday,-96.7637116,32.9171005,Aug
2014-08-20,Nichols Park,(312) 747-2703,The Nut Job,Yes,PG,"1355 E. 53rd St. Chicago IL 60615
Chicago, IL 60615
(41.79950333, -87.59230804)",8,60615,33,2014,Wednesday,-93.3168029,37.2185197,Aug
2014-08-02,Sauganash Park,(773) 685-6122,The Nut Job,Yes,PG,"5861 N. Kostner Ave. Chicago IL 60646
Chicago, IL 60646
(41.98839951, -87.73739624)",12,60646,38,2014,Saturday,-87.7372685,41.9882037,Aug
2014-07-15,"Ward, A. Montgomery Park",(312) 742-7895,Chicago,Yes,PG-13,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)",37,60606,36,2014,Tuesday,-87.6422346,41.89351,Jul
2014-07-23,Pottawattomie Park,(773) 262-5835,Annie,N/A,NR,"7340 N. Rogers Ave. Chicago IL 60626
Chicago, IL 60626
(42.01446533, -87.6785965)",10,60626,5,2014,Wednesday,-87.6775959,42.0158615,Jul
2014-07-30,Portage Park,(773) 685-7235,ET,N/A,PG,"4100 N Long Ave Chicago, IL 60641
Chicago, IL 60641
(41.95508957, -87.76216125)",15,60641,19,2014,Wednesday,-87.7645576,41.953217,Jul
2014-08-01,Dawes Park,(312) 747-6108,Lee Daniels' The Butler,Yes,PG-13,"8052 S. Damen Ave. Chicago IL 60620
Chicago, IL 60620
(41.74732971, -87.67307281)",70,60620,30,2014,Friday,-87.6741442,42.046574,Aug
2014-08-02,Jonquil Playlot Park,(312) 742-7816,Mr. Peabody & Sherman,Yes,PG,"1001 W. Wrightwood Ave. Chicago IL 60614
Chicago, IL 60614
(41.92899323, -87.65377045)",68,60614,34,2014,Saturday,-87.6545678,41.9284789,Aug
2014-07-16,Skinner Park,(312) 746-5560,The Smurfs 2,Yes,PG,"1331 W Monroe St Chicago IL 60607
Chicago, IL 60607
(41.88011364, -87.66196489)",29,60607,46,2014,Wednesday,-87.6615589,41.8796407,Jul
2014-08-21,Arrigo Park,(312) 746-5369,Back to the Future,Yes,PG,"801 S Loomis St Chicago, IL 60607
Chicago, IL 60607
(41.87156296, -87.66168976)",29,60607,23,2014,Thursday,-87.6601662,41.8717379,Aug
2014-07-16,Calumet Park,(312) 747-6039,Latino Film Festival Selection,No,NR,"9801 S Avenue G Chicago, IL 60617
Chicago, IL 60617
(41.71755765, -87.53148079)",49,60617,47,2014,Wednesday,-87.6607948,41.6628909,Jul
2014-06-09,Gage Park,(312) 747-6147,"It's a Mad, Mad, Mad, Mad World",No,G,"2411 W. 55th St. Chicago IL 60629
Chicago, IL 60629
(41.79384995, -87.68441772)",61,60629,3,2014,Monday,-87.7035777,41.7935203,Jun
2014-07-24,Rainey Park,(773) 284-0696,Turbo,Yes,PG,"4350 W. 79th St. Chicago IL 60652
Chicago, IL 60652
(41.74944687, -87.73049927)",69,60652,30,2014,Thursday,-73.9407026,40.7661129,Jul
2014-08-04,Lake Meadows Park,(312) 747-6287,Big Fish,Yes,PG-13,"3117 S. Rhodes Ave. Chicago IL 60616
Chicago, IL 60616
(41.83804321, -87.61347198)",1,60616,10,2014,Monday,-87.6120735,41.8371075,Aug
2014-07-27,Marquette Park,(312) 747-6469,Life of Pi,Yes,PG,"6743 S. Kedzie Ave. Chicago IL 60629
Chicago, IL 60629
(41.77088165, -87.70292664)",64,60629,31,2014,Sunday,-87.7032024,41.7686101,Jul
2014-08-17,Piotrowski Park,(312) 747-6608,The Wizard of Oz,Yes,PG,"4247 W. 31st St. Chicago IL 60623
Chicago, IL 60623
(41.8367424, -87.730896)",32,60623,28,2014,Sunday,-87.7309295,41.8348342,Aug
2014-07-10,Wildwood Park,(773) 631-7455,Free Birds,Yes,PG,"6950 N. Hiawatha Ave. Chicago IL 60646
Chicago, IL 60646
(42.00686264, -87.7776947)",12,60646,29,2014,Thursday,-92.4936182,34.7746528,Jul
2014-08-26,Emmerson Park,(773) 761-0433,Star Trek: Into Darkness,Yes,PG-13,"1820 W. Granville Ave. Chicago IL 60660
Chicago, IL 60660
(41.99436951, -87.67577362)",20,60660,24,2014,Tuesday,-87.6770938,41.9948698,Aug
2014-07-20,Tuley Park,(312) 747-6763,The Hunger Games: Catching Fire,Yes,PG-13,"501 E. 90th Pl. Chicago IL 60619
Chicago, IL 60619
(41.73011017, -87.61437988)",40,60619,43,2014,Sunday,-87.6120906,41.7302432,Jul
2014-08-14,Graver Park,(312) 747-6163,The Lego Movie,Yes,PG,"1518 W. 102nd Pl. Chicago IL 60643
Chicago, IL 60643
(41.70744705, -87.66044617)",71,60643,42,2014,Thursday,-87.6606811,41.7078354,Aug
2014-07-07,Nat King Cole Park,(312) 747-6063,Despicable Me 2,Yes,PG,"361 E. 85th St. Chicago IL 60619
Chicago, IL 60619
(41.74013519, -87.61564636)",40,60619,32,2014,Monday,-87.6153444,41.7391871,Jul
2014-07-17,Jackie Robinson Park,(312) 745-4041,42,Yes,PG-13,"10540 S. Morgan St. Chicago IL 60643
Chicago, IL 60643
(41.70248795, -87.64756012)",72,60643,22,2014,Thursday,-117.9725872,34.5725719,Jul
2014-07-25,Avalon Park,(312) 747-6015,42,Yes,PG-13,"1215 E 83rd St Chicago, IL 60619
Chicago, IL 60619
(41.7440567, -87.59574127)",41,60619,35,2014,Friday,-81.1543401,28.5116127,Jul
2014-06-25,Rogers Park,(773) 381-6274,Gravity,Yes,PG-13,"7345 N. Washtenaw Ave. Chicago IL 60645
Chicago, IL 60645
(42.01504517, -87.69725037)",20,60645,27,2014,Wednesday,-87.6745883,42.0126294,Jun
2014-08-05,Heritage Green Park,(312) 746-5494,Ghostbusters,Yes,PG,"610-30 W. Adams St. Chicago IL 60606
Chicago, IL 60606
(41.87962341, -87.64317322)",29,60606,36,2014,Tuesday,-87.643468,41.8795801,Aug
2014-08-11,Lincoln Park,(312) 742-7726,True Grit,Yes,NR,"2045 N Lincoln Park West Chicago IL 60614
Chicago, IL 60614
(41.928495, -87.636008)",68,60614,34,2014,Monday,-87.6487783,41.9254701,Aug
2014-07-08,Hermitage Park,(312) 747-6179,The Amazing Spider-Man,Yes,PG-13,"5839 S. Wood St. Chicago IL 60636
Chicago, IL 60636
(41.78759766, -87.6692276)",65,60636,3,2014,Tuesday,-86.6148073,36.177761,Jul
2014-08-22,Golden Gate Park,(312) 747-6047,Man of Steel,Yes,PG-13,"13000 S. Eberhart Ave. Chicago IL 60627
Chicago, IL 60627
(41.65910339, -87.61064911)",51,60627,43,2014,Friday,-122.4862138,37.7694208,Aug
2014-07-29,Daniel Webster Park,(312) 257-4486,The Croods,Yes,PG,"1401 S Indiana Ave Chicago, IL 60605
Chicago, IL 60605
(41.86395645, -87.62201691)",34,60605,9,2014,Tuesday,-87.6217023,41.8644693,Jul
2014-06-03,Berger Park Cultural Center,(773) 761-0376,@home,No,NR,"6205 N Sheridan Rd Chicago, IL 60660
Chicago, IL 60660
(41.99475861, -87.65554047)",76,60660,16,2014,Tuesday,-87.6551161,41.9948704,Jun
2014-06-24,Buttercup Playlot Park,(312) 742-7522,Beasts of the Southern Wild,Yes,PG-13,"4901 N Sheridan Rd Chicago, IL 60640
Chicago, IL 60640
(41.97158432, -87.65485382)",31,60640,16,2014,Tuesday,-87.6545263,41.9721301,Jun
2014-08-19,Paschen Park,(773) 262-5871,The Nut Job,Yes,PG,"1932 W. Lunt Ave. Chicago IL 60626
Chicago, IL 60626
(42.00889969, -87.67923737)",10,60626,5,2014,Tuesday,-87.6798406,42.0091887,Aug
2014-08-13,South Shore Cultural Center,(773) 256-0149,Claudine,Yes,PG,"7059 S. South Shore Dr. Chicago IL 60649
Chicago, IL 60649
(41.76674652, -87.56651306)",39,60649,33,2014,Wednesday,-87.5635963,41.7691802,Aug
2014-06-02,West Pullman Park,(312) 747-7090,@home,No,NR,"401 W. 123rd St. Chicago IL 60628
Chicago, IL 60628
(41.67062378, -87.63065338)",50,60628,22,2014,Monday,-87.6314575,41.6696411,Jun
2014-07-06,West Pullman Park,(312) 747-7090,Life of Pi,Yes,PG,"401 W. 123rd St. Chicago IL 60628
Chicago, IL 60628
(41.67062378, -87.63065338)",50,60628,22,2014,Sunday,-87.6314575,41.6696411,Jul
2014-07-27,Austin Town Hall Park,(773) 287-7658,The Help,Yes,PG-13,"5610 W Lake St Chicago, IL 60644
Chicago, IL 60644
(41.88805771, -87.76578522)",26,60644,7,2014,Sunday,-87.7657791,41.888194,Jul
2014-07-08,Gompers Park,(773) 685-3270,Cloudy with a Chance of Meatballs 2,Yes,PG,"4222 W. Foster Ave. Chicago IL 60630
Chicago, IL 60630
(41.97549438, -87.73486328)",13,60630,38,2014,Tuesday,-87.7367788,41.9761424,Jul
2014-06-27,Columbus Park,(773) 287-7641,Michael Jackson's This is It,Yes,PG,"500 S. Central Ave. Chicago, IL 60644
Chicago, IL 60644
(41.87285233, -87.76467896)",26,60644,7,2014,Friday,-74.0000483,40.7155353,Jun
2014-06-27,Kathy Osterman Beach,(312) 742-5121,Gypsy,No,NR,"5800 N. Lake Shore Drive, Chicago, IL 60660
Chicago, IL 60660
(41.98543743, -87.65284538)",76,60660,16,2014,Friday,-87.6519968,41.9861856,Jun
2014-06-18,Robichaux Park,(312) 747-6648,42,Yes,PG-13,"9247 S. Eggleston Ave. Chicago IL 60620
Chicago, IL 60620
(41.72631836, -87.63435364)",72,60620,13,2014,Wednesday,-87.6342303,41.7247326,Jun
2014-08-10,Eckhart Park,(312) 746-5490,The Goonies,Yes,PG,"1330 W. Chicago Ave. Chicago IL 60642
Chicago, IL 60642
(41.89619446, -87.66043091)",25,60642,46,2014,Sunday,-87.6612032,41.8972278,Aug
2014-06-14,Chopin Park,(773) 685-3247,Gremlins,N/A,PG,"3420 N. Long Ave. Chicago IL 60641
Chicago, IL 60641
(41.94267654, -87.76173401)",15,60641,21,2014,Saturday,-87.7631735,41.943051,Jun
2014-08-23,Mayfair Park,(773) 685-3361,The Lego Movie,N/A,PG,"4550 W. Sunnyside Ave. Chicago IL 60630
Chicago, IL 60630
(41.96262741, -87.74201202)",16,60630,38,2014,Saturday,-87.7420401,41.9630974,Aug
2014-06-26,Kenwood Community Park,(312) 747-6286,Mandela: Long Walk to Freedom,Yes,PG-13,"1330 E. 50th St. Chicago IL 60615
Chicago, IL 60615
(41.80422211, -87.59378815)",5,60615,10,2014,Thursday,-87.5929585,41.8049131,Jun
2014-08-19,Blackhawk Park,(312) 746-5014,Instructions Not Included,Yes,PG-13,"2318 N Lavergne Ave Chicago, IL 60639
Chicago, IL 60639
(41.92288589, -87.75176239)",19,60639,44,2014,Tuesday,-87.7526523,41.9228418,Aug
2014-08-21,Moore Park,(773) 287-0561,Stomp the Yard,Yes,PG-13,"5085 W. Adams St. Chicago IL 60644
Chicago, IL 60644
(41.87814331, -87.75273132)",26,60644,23,2014,Thursday,-97.4893384,35.3352419,Aug
2014-07-30,Touhy Park,(773) 262-6737,The Muppet Movie,N/A,G,"7348 N. Paulina St. Chicago IL 60626
Chicago, IL 60626
(42.0148735, -87.67243958)",10,60626,5,2014,Wednesday,-87.6737628,42.0147467,Jul
2014-06-21,Hollywood Park,(773) 478-3482,Back to the Future,Yes,PG,"3312 W. Thorndale Ave. Chicago IL 60659
Chicago, IL 60659
(41.98849869, -87.71220398)",13,60659,38,2014,Saturday,-87.7473954,41.6559118,Jun
2014-08-26,Lake Shore Park,(312) 742-7891,The Hunger Games: Catching Fire,Yes,PG-13,"808 N Lake Shore Dr Chicago, IL 60611
Chicago, IL 60611
(41.89749146, -87.61992645)",37,60611,11,2014,Tuesday,-95.9361817,36.7840061,Aug
2014-07-11,Independence Park,(773) 478-3538,Avengers,N/A,PG-13,"3945 N. Springfield Ave. Chicago IL 60618
Chicago, IL 60618
(41.95268631, -87.72504425)",16,60618,50,2014,Friday,-87.7237263,41.9526374,Jul
2014-07-31,Davis Square Park,(312) 747-6107,Despicable Me 2,Yes,PG,"4430 S. Marshfield Ave. Chicago IL 60609
Chicago, IL 60609
(41.81347275, -87.66633606)",59,60609,3,2014,Thursday,-87.6675322,41.81302,Jul
2014-07-22,Smith Park,(312) 742-7534,Ghostbusters,Yes,PG,"2526 W. Grand Ave. Chicago, IL 60612
Chicago, IL 60612
(41.89163208, -87.68981934)",25,60612,49,2014,Tuesday,-87.6905214,41.8930015,Jul
2014-06-26,Wicker Park,(312) 742-7553,Dr. Strangelove,Yes,PG,"1425 N. Damen Avenue Chicago IL 60622
Chicago, IL 60622
(41.90821838, -87.67736053)",25,60622,41,2014,Thursday,-87.6775672,41.9104892,Jun
2014-07-10,Normandy Playground Park,(773) 229-1421,Gremlins,Yes,PG,"6660 W. 52nd St. Chicago IL 60638
Chicago, IL 60638
(41.79777908, -87.78858948)",53,60638,8,2014,Thursday,-87.7887117,41.7983987,Jul
2014-06-19,Bell Park,(312) 746-5008,The Smurfs 2,Yes,PG,"3020 N Oak Park Ave Chicago, IL 60634
Chicago, IL 60634
(41.93524551, -87.79602051)",18,60634,44,2014,Thursday,-94.2660266,35.2271004,Jun
2014-07-11,Dunham Park,(773) 685-3257,Ghostbusters,Yes,PG,"4638 N. Melvina Ave. Chicago IL 60630
Chicago, IL 60630
(41.96598053, -87.78197479)",15,60630,19,2014,Friday,-87.7844106,41.9658131,Jul
2014-06-28,Rutherford Sayre Park,(312) 746-5368,The Lego Movie,Yes,PG,"6871 W. Belden Ave. Chicago IL 60635
Chicago, IL 60635
(41.92081833, -87.79712677)",18,60635,7,2014,Saturday,-87.7973773,41.9200406,Jun
2014-07-26,Kennicott Park,(312) 747-7138,Roll Bounce,Yes,PG-13,"4434 S. Lake Park Ave. Chicago IL 60653
Chicago, IL 60653
(41.81412125, -87.59686279)",5,60653,10,2014,Saturday,-87.5975062,41.8138876,Jul
2014-06-13,Dunham Park,(773) 685-3257,Delivery Man,N/A,PG-13,"4638 N. Melvina Ave. Chicago IL 60630
Chicago, IL 60630
(41.96598053, -87.78197479)",15,60630,19,2014,Friday,-87.7844106,41.9658131,Jun
2014-07-19,"Ward, A. Montgomery Park",(312) 742-7895,Captain Phillips,Yes,PG-13,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)",37,60606,36,2014,Saturday,-87.6422346,41.89351,Jul
2014-07-25,Altgeld Park,(312) 746-5001,Drumline,Yes,PG-13,"515 S. Washtenaw Ave. Chicago IL 60612
Chicago, IL 60612
(41.87475204, -87.69367981)",28,60612,23,2014,Friday,-87.692543,41.8743049,Jul
2014-06-24,Lake Shore Park,(312) 742-7891,Happy Feet,Yes,PG,"808 N Lake Shore Dr Chicago, IL 60611
Chicago, IL 60611
(41.89749146, -87.61992645)",37,60611,11,2014,Tuesday,-95.9361817,36.7840061,Jun
2014-06-22,Homan Square Park,(312) 746-6650,Lee Daniels' The Butler,Yes,PG-13,"3559 W. Arthington St. Chicago IL 60624
Chicago, IL 60624
(41.86931992, -87.71344757)",30,60624,14,2014,Sunday,-87.7144908,41.8693788,Jun
2014-07-18,Fosco Park,(312) 746-5086,Mandela: Long Walk to Freedom,Yes,PG-13,"1312 S. Racine Ave, Chicago IL 60608
Chicago, IL 60608
(41.86500168, -87.6566391)",29,60608,26,2014,Friday,-87.6571882,41.8645051,Jul
2014-07-02,Woodhull Playground Park,(773) 256-1903,The Wiz,No,G,"7340 S. East End Ave. Chicago IL 60649
Chicago, IL 60649
(41.76167679, -87.58354187)",39,60649,35,2014,Wednesday,-87.5843427,41.7619862,Jul
2014-06-27,Haas Park,(312) 742-7552,Cloudy with a Chance of Meatballs 2,Yes,PG,"2402 N. Washtenaw Ave. Chicago IL 60647
Chicago, IL 60647
(41.92488861, -87.69497681)",23,60647,41,2014,Friday,-87.6961085,41.9251799,Jun
2014-08-03,Senka Park,(312) 747-4386,Mr. Peabody & Sherman,Yes,PG,"5656 S. St. Louis Ave. Chicago IL 60629
Chicago, IL 60629
(41.79055023, -87.71083069)",61,60629,8,2014,Sunday,-87.7121252,41.7914942,Aug
2014-07-21,Calumet Park,(312) 747-6039,Buck and the Preacher,Yes,PG,"9801 S Avenue G Chicago, IL 60617
Chicago, IL 60617
(41.71755765, -87.53148079)",49,60617,47,2014,Monday,-87.6607948,41.6628909,Jul
2014-07-02,Moran Playground Park,(312) 747-6560,42,Yes,PG-13,"5727 S. Racine Ave. Chicago IL 60621
Chicago, IL 60621
(41.79003906, -87.65474701)",66,60621,2,2014,Wednesday,-87.6544069,41.789347,Jul
2014-08-06,Piotrowski Park,(312) 747-6608,The Hunger Games: Catching Fire,Yes,PG-13,"4247 W. 31st St. Chicago IL 60623
Chicago, IL 60623
(41.8367424, -87.730896)",32,60623,28,2014,Wednesday,-87.7309295,41.8348342,Aug
2014-06-19,Dunbar Park,(312) 747-5962,Lee Daniels' The Butler,Yes,PG-13,"300 E. 31st St. Chicago IL 60616
Chicago, IL 60616
(41.83839417, -87.62062836)",1,60616,10,2014,Thursday,-87.6208001,41.8399244,Jun
2014-07-19,Loyola Park,(773) 262-8605,Captain Phillips,Yes,PG-13,"1230 W. Greenleaf Ave. Chicago IL 60626
Chicago, IL 60626
(42.01041412, -87.66117859)",10,60626,5,2014,Saturday,-87.6619076,42.0117116,Jul
2014-07-09,Portage Park,(773) 685-7235,Frozen,N/A,PG,"4100 N Long Ave Chicago, IL 60641
Chicago, IL 60641
(41.95508957, -87.76216125)",15,60641,19,2014,Wednesday,-87.7645576,41.953217,Jul
2014-08-22,Humboldt Park,(312) 742-7549,The Benchwarmers,Yes,PG-13,"1440 N Humboldt Dr Chicago, IL 60622
Chicago, IL 60622
(41.90572739, -87.7037735)",25,60622,49,2014,Friday,-87.721293,41.8990752,Aug
2014-08-15,Norwood Park,(773) 631-4893,Free Birds,N/A,PG,"5801 N. Natoma Ave. Chicago IL 60631
Chicago, IL 60631
(41.98659134, -87.79413605)",36,60631,29,2014,Friday,-87.8069116,41.9858094,Aug
2014-07-09,Hayes Park,(312) 747-6177,Happy Feet,Yes,PG,"2936 W. 85th St. Chicago IL 60652
Chicago, IL 60652
(41.73907852, -87.69678497)",69,60652,30,2014,Wednesday,-87.6969091,41.7404584,Jul
2014-07-30,Hermosa Park,(312) 742-7540,Latino Film Festival Selection,No,NR,"2240 N. Kilbourn Ave. Chicago IL 60639
Chicago, IL 60639
(41.92153931, -87.73892212)",21,60639,44,2014,Wednesday,-87.7403457,41.9219812,Jul
2014-07-18,Brooks Park,(773) 631-4401,The Smurfs 2,Yes,PG,"7100 N Harlem Ave Chicago, IL 60631
Chicago, IL 60631
(42.01028061, -87.8066864)",77,60631,29,2014,Friday,-98.4266263,29.3363722,Jul
2014-08-13,Harrison Park,(312) 746-5491,Latino Film Festival Selection,No,NR,"1824 S. Wood St. Chicago IL 60608
Chicago, IL 60608
(41.85699081, -87.67106628)",33,60608,26,2014,Wednesday,-97.222816,37.6680039,Aug
2014-08-05,Trebes Park,(312) 742-7769,Cloudy With a Chance of Meatballs 2,Yes,PG,"2250 N. Clifton Ave. Chicago IL 60614
Chicago, IL 60614
(41.92298889, -87.65727234)",68,60614,34,2014,Tuesday,-87.6577043,41.9220656,Aug
2014-06-21,Ellis (Samuel) Park,(312) 656 - 0423,Gravity,Yes,PG-13,"535 E. 35th St. Chicago IL 60653
Chicago, IL 60653
(41.82777786, -87.60858154)",2,60653,10,2014,Saturday,-87.6103569,41.8281357,Jun
2014-07-01,Wentworth Park,(312) 747-6993,Jurassic Park,Yes,PG-13,"5625 S. Mobile Ave. Chicago IL 60638
Chicago, IL 60638
(41.79042816, -87.77915955)",53,60638,15,2014,Tuesday,-87.7804512,41.7883344,Jul
2014-06-05,Lake Shore Park,(312) 742-7891,@home,No,NR,"808 N Lake Shore Dr Chicago, IL 60611
Chicago, IL 60611
(41.89749146, -87.61992645)",37,60611,11,2014,Thursday,-95.9361817,36.7840061,Jun
2014-08-24,Palmer Park,(312) 747-6577,The Great Gatsby (2013),Yes,PG-13,"201 E 111th St Chicago, IL 60628
Chicago, IL 60628
(41.69263077, -87.61819458)",45,60628,43,2014,Sunday,-104.7680926,38.8789233,Aug
2014-08-18,Lake Shore Park,(312) 742-7891,The Lego Movie,Yes,PG,"808 N Lake Shore Dr Chicago, IL 60611
Chicago, IL 60611
(41.89749146, -87.61992645)",37,60611,11,2014,Monday,-95.9361817,36.7840061,Aug
