EventName, MovieName, Location , ZipCode, Phone, StartDate, EndDate, EventUrl, ParkUrl, Community, MovieClosedCaption, MovieRating,Location 1,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Movies in the Parks at Horner,The Wizard of Oz,Horner Park,60618,(773) 478-3499,08/30/2014 08:00:00 PM,08/30/2014 09:41:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Horner1/,http://www.chicagoparkdistrict.com/parks/Horner-Park/,Irving Park,Yes,PG,"2741 W. Montrose Ave. Chicago IL 60618
Chicago, IL 60618
(41.96125412, -87.69841003)",20,14,21538,258,20,2
Movies in the Parks at Jonquil,Ghostbusters,Jonquil Playlot Park,60614,(312) 742-7816 ,07/20/2014 08:30:00 PM,07/20/2014 10:17:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Jonquil5/,http://www.chicagoparkdistrict.com/parks/Jonquil-Playlot-Park/,Lincoln Park,Yes,PG,"1001 W. Wrightwood Ave. Chicago IL 60614
Chicago, IL 60614
(41.92899323, -87.65377045)",16,68,21190,795,34,16
Movies in the Parks at Mandrake,The Muppet Movie,Mandrake Park,60653,(312) 656-0423 (Ellis Park in Dolittle School),08/28/2014 08:00:00 PM,08/28/2014 09:38:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Mandrake2/,http://www.chicagoparkdistrict.com/parks/Mandrake-Park/,Oakland,Yes,G,"900 E. Pershing Rd. Chicago IL 60653
Chicago, IL 60653
(41.82370758, -87.60727692)",36,4,4301,583,10,1
Movies in the Parks at Montgomery Ward,The Lego Movie,"Ward, A. Montgomery Park",60606,(312) 742-7895,08/26/2014 08:00:00 PM,08/26/2014 09:41:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Montgomery-Ward13/,http://www.chicagoparkdistrict.com/parks/Ward-A-Montgomery-Park/,Near North Side,Yes,PG,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)",55,37,4446,652,36,22
Family Movie Night at O'Hallaren,Gravity,O'Hallaren Park,60620,(312) 747-6573,07/10/2014 08:00:00 PM,07/10/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-OHallaren/,http://www.chicagoparkdistrict.com/parks/OHallaren-Park/,Auburn Gresham,No,PG-13,"8335 S. Honore St. Chicago IL 60620
Chicago, IL 60620
(41.74268341, -87.66927338)",59,70,21554,532,13,6
Family Movie Night at Athletic Field,The Perfect Game,Athletic Field Park,60618,(773) 478-2889,07/25/2014 08:30:00 PM,07/25/2014 10:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Athletic-Field1/,http://www.chicagoparkdistrict.com/parks/Athletic-Field-Park/,Irving Park,N/A,PG,"3546 W Addison St Chicago, IL 60618
Chicago, IL 60618
(41.94668198, -87.71703339)",39,16,21538,325,12,15
Family Movie Night at Jefferson,Monster University,Jefferson Memorial Park,60630,(773) 685-3316,06/12/2014 08:00:00 PM,06/12/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Jefferson/,http://www.chicagoparkdistrict.com/parks/Jefferson-Memorial-Park/,Jefferson Park,N/A,PG,"4822 N. Long Ave. Chicago IL 60630
Chicago, IL 60630
(41.96814728, -87.76294708)",48,11,21869,129,50,20
Family Movie Night at Athletic Field,Newsies,Athletic Field Park,60618,(773) 478-2889,06/27/2014 08:30:00 PM,06/27/2014 10:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Athletic-Field/,http://www.chicagoparkdistrict.com/parks/Athletic-Field-Park/,Irving Park,N/A,PG,"3546 W Addison St Chicago, IL 60618
Chicago, IL 60618
(41.94668198, -87.71703339)",39,16,21538,325,12,15
Movies in the Parks at Wrightwood,The Goonies,Wrightwood Park,60614,(312) 742-7816,08/08/2014 08:00:00 PM,08/08/2014 09:51:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wrightwood1/,http://www.chicagoparkdistrict.com/parks/Wrightwood-Park/,Lincoln Park,Yes,PG,"2534 N Greenview Ave Chicago, IL 60614
Chicago, IL 60614
(41.92774582, -87.66582489)",16,68,21190,770,11,16
Movies in the Parks at Ada,42,Ada Park,60643,(312) 747-6002,08/02/2014 08:00:00 PM,08/02/2014 10:08:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Ada/,http://www.chicagoparkdistrict.com/parks/ada-park/,Morgan Park,Yes,PG-13,"11250 S Ada St Chicago, IL 60643
Chicago, IL 60643
(41.68910599, -87.65565491)",13,74,22212,663,22,45
Family Movie Night at Portage,Monster University,Portage Park,60641,(773) 685-7235,06/25/2014 08:00:00 PM,06/25/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-OutFamily-Movie-Night-at-Portage/,http://www.chicagoparkdistrict.com/parks/Portage-Park/,Portage Park,N/A,G,"4100 N Long Ave Chicago, IL 60641
Chicago, IL 60641
(41.95508957, -87.76216125)",21,15,22618,260,19,25
Movies in the Parks at Midway,Patang,Midway Plaisance Park,60637,(312) 745-2470,06/15/2014 09:00:00 PM,06/15/2014 10:40:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Midway1/,http://www.chicagoparkdistrict.com/parks/Midway-Plaisance-Park/,Hyde Park,No,NR,"1130 Midway Plaisance North Chicago IL 60637
Chicago, IL 60637
(41.78723526, -87.59635162)",60,8,22260,503,33,32
Movies in the Parks at Franklin,The Hunger Games: Catching Fire,Franklin Park,60623,(312) 747-7676,08/08/2014 08:00:00 PM,08/08/2014 10:26:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Franklin/,http://www.chicagoparkdistrict.com/parks/Franklin-Park/,North Lawndale,Yes,PG-13,"4320 W. 15th St. Chicago IL 60623
Chicago, IL 60623
(41.86061478, -87.73335266)",57,30,21569,761,14,36
Movies in the Parks at Hamilton,The Help,Hamilton Park,60621,(312) 747-6174,08/24/2014 08:00:00 PM,08/24/2014 10:26:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hamilton1/,http://www.chicagoparkdistrict.com/parks/Hamilton-Park/,Englewood,Yes,PG-13,"513 W. 72nd St. Chicago IL 60621
Chicago, IL 60621
(41.76344299, -87.63769531)",11,66,21559,511,32,17
Movies in the Parks at Nichols,The Nut Job,Nichols Park,60615,(312) 747-2703,08/20/2014 08:00:00 PM,08/20/2014 09:26:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Nichols2/,http://www.chicagoparkdistrict.com/parks/Nichols-Park/,Hyde Park,Yes,PG,"1355 E. 53rd St. Chicago IL 60615
Chicago, IL 60615
(41.79950333, -87.59230804)",10,8,21192,499,33,1
Movies in the Parks at Sauganash,The Nut Job,Sauganash Park,60646,(773) 685-6122,08/02/2014 08:30:00 PM,08/02/2014 09:56:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Sauganash2/,http://www.chicagoparkdistrict.com/parks/Sauganash-Park/,Forest Glen,Yes,PG,"5861 N. Kostner Ave. Chicago IL 60646
Chicago, IL 60646
(41.98839951, -87.73739624)",18,12,22532,713,38,28
Movies in the Parks at Montgomery Ward,Chicago ,"Ward, A. Montgomery Park",60606,(312) 742-7895,07/15/2014 08:30:00 PM,07/15/2014 10:13:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Montgomery-Ward9/,http://www.chicagoparkdistrict.com/parks/Ward-A-Montgomery-Park/,Near North Side,Yes,PG-13,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)",55,37,4446,652,36,22
Family Fun Film at Pottawattomie,Annie,Pottawattomie Park,60626,(773) 262-5835,07/23/2014 09:00:00 PM,07/23/2014 10:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Fun-Film-at-Pottawattomie/,http://www.chicagoparkdistrict.com/parks/Pottawattomie-Park/,Rogers Park,N/A,NR,"7340 N. Rogers Ave. Chicago IL 60626
Chicago, IL 60626
(42.01446533, -87.6785965)",9,10,21853,52,5,3
Family Movie Night at Portage,ET,Portage Park,60641,(773) 685-7235,07/30/2014 08:00:00 PM,07/30/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-OutFamily-Movie-Night-at-Portage2/,http://www.chicagoparkdistrict.com/parks/Portage-Park/,Portage Park,N/A,PG,"4100 N Long Ave Chicago, IL 60641
Chicago, IL 60641
(41.95508957, -87.76216125)",21,15,22618,260,19,25
Movies in the Parks at Dawes,Lee Daniels' The Butler,Dawes Park,60620,(312) 747-6108,08/01/2014 08:00:00 PM,08/01/2014 10:12:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Dawes/,http://www.chicagoparkdistrict.com/parks/Dawes-Park/,Auburn Gresham,Yes,PG-13,"8052 S. Damen Ave. Chicago IL 60620
Chicago, IL 60620
(41.74732971, -87.67307281)",59,70,21554,574,30,6
Movies in the Parks at Jonquil,Mr. Peabody & Sherman,Jonquil Playlot Park,60614,(312) 742-7816 ,08/02/2014 08:00:00 PM,08/02/2014 09:32:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Jonquil6/,http://www.chicagoparkdistrict.com/parks/Jonquil-Playlot-Park/,Lincoln Park,Yes,PG,"1001 W. Wrightwood Ave. Chicago IL 60614
Chicago, IL 60614
(41.92899323, -87.65377045)",16,68,21190,795,34,16
Movies in the Parks at Skinner,The Smurfs 2,Skinner Park,60607,(312) 746-5560,07/16/2014 08:30:00 PM,07/16/2014 10:15:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Skinner1/,http://www.chicagoparkdistrict.com/parks/skinner-park/,Near West Side,Yes,PG,"1331 W Monroe St Chicago IL 60607
Chicago, IL 60607
(41.88011364, -87.66196489)",44,29,14917,91,46,48
Movies in the Parks at Arrigo,Back to the Future,Arrigo Park,60607,(312) 746-5369 ,08/21/2014 08:00:00 PM,08/21/2014 09:56:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Arrigo/,http://www.chicagoparkdistrict.com/parks/Arrigo-Park/,Near West Side,Yes,PG,"801 S Loomis St Chicago, IL 60607
Chicago, IL 60607
(41.87156296, -87.66168976)",44,29,14917,759,23,8
Movies in the Parks at Calumet,Latino Film Festival Selection,Calumet Park,60617,(312) 747-6039,07/16/2014 08:30:00 PM,07/16/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Calumet3/,http://www.chicagoparkdistrict.com/parks/Calumet-Park/,East Side,No,NR,"9801 S Avenue G Chicago, IL 60617
Chicago, IL 60617
(41.71755765, -87.53148079)",25,49,21202,705,47,47
Family Movie Night at Gage,"It's a Mad, Mad, Mad, Mad World",Gage Park,60629,(312) 747-6147 ,06/09/2014 08:00:00 PM,06/09/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Gage/,http://www.chicagoparkdistrict.com/parks/Gage-Park/,Gage Park,No,G,"2411 W. 55th St. Chicago IL 60629
Chicago, IL 60629
(41.79384995, -87.68441772)",58,61,22248,112,3,19
Movies in the Parks at Rainey,Turbo,Rainey Park,60652,(773) 284-0696,07/24/2014 08:30:00 PM,07/24/2014 10:06:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Rainey/,http://www.chicagoparkdistrict.com/parks/Rainey-Park/,Ashburn,Yes,PG,"4350 W. 79th St. Chicago IL 60652
Chicago, IL 60652
(41.74944687, -87.73049927)",8,69,4300,571,30,23
Movies in the Parks at Lake Meadows,Big Fish,Lake Meadows Park,60616,(312) 747-6287,08/04/2014 08:00:00 PM,08/04/2014 10:05:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Lake-Meadows/,http://www.chicagoparkdistrict.com/parks/Lake-Meadows-Park/,Douglas,Yes,PG-13,"3117 S. Rhodes Ave. Chicago IL 60616
Chicago, IL 60616
(41.83804321, -87.61347198)",40,1,21194,581,10,1
Movies in the Parks at Marquette,Life of Pi,Marquette Park,60629,(312) 747-6469,07/27/2014 08:30:00 PM,07/27/2014 10:37:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Marquette2/,http://www.chicagoparkdistrict.com/parks/Marquette-Park/,Chicago Lawn,Yes,PG,"6743 S. Kedzie Ave. Chicago IL 60629
Chicago, IL 60629
(41.77088165, -87.70292664)",58,64,21867,383,31,6
Movies in the Parks at Piotrowski,The Wizard of Oz,Piotrowski Park,60623,(312) 747-6608 ,08/17/2014 08:00:00 PM,08/17/2014 09:41:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Piotrowski3/,http://www.chicagoparkdistrict.com/parks/Piotrowski-Park/,South Lawndale,Yes,PG,"4247 W. 31st St. Chicago IL 60623
Chicago, IL 60623
(41.8367424, -87.730896)",57,32,21569,200,28,14
Movies in the Parks at Wildwood,Free Birds,Wildwood Park,60646,(773) 631-7455,07/10/2014 08:30:00 PM,07/10/2014 10:01:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wildwood1/,http://www.chicagoparkdistrict.com/parks/Wildwood-Park/,Forest Glen,Yes,PG,"6950 N. Hiawatha Ave. Chicago IL 60646
Chicago, IL 60646
(42.00686264, -87.7776947)",18,12,22532,781,29,34
Movies in the Parks at Emmerson,Star Trek: Into Darkness,Emmerson Park,60660,(773) 761-0433,08/26/2014 08:00:00 PM,08/26/2014 10:09:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Emmerson1/,http://www.chicagoparkdistrict.com/parks/Emmerson-Park/,West Ridge,Yes,PG-13,"1820 W. Granville Ave. Chicago IL 60660
Chicago, IL 60660
(41.99436951, -87.67577362)",14,20,4451,43,24,42
Movies in the Parks at Tuley,The Hunger Games: Catching Fire,Tuley Park,60619,(312) 747-6763,07/20/2014 08:30:00 PM,07/20/2014 10:56:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Tuley1/,http://www.chicagoparkdistrict.com/parks/Tuley-Park/,Chatham,Yes,PG-13,"501 E. 90th Pl. Chicago IL 60619
Chicago, IL 60619
(41.73011017, -87.61437988)",61,40,21546,428,43,31
Movies in the Parks at Graver,The Lego Movie,Graver Park,60643,(312) 747-6163 ,08/14/2014 08:00:00 PM,08/14/2014 09:41:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Graver/,http://www.chicagoparkdistrict.com/parks/Graver-Park/,"Morgan Park, Beverly",Yes,PG,"1518 W. 102nd Pl. Chicago IL 60643
Chicago, IL 60643
(41.70744705, -87.66044617)",13,71,22212,628,42,33
Movies in the Parks at Cole,Despicable Me 2,Nat King Cole Park,60619,(312) 747-6063,07/07/2014 08:30:00 PM,07/07/2014 10:08:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Cole/,http://www.chicagoparkdistrict.com/parks/Nat-King-Cole-Park/,Chatham,Yes,PG,"361 E. 85th St. Chicago IL 60619
Chicago, IL 60619
(41.74013519, -87.61564636)",61,40,21546,406,32,31
Movies in the Parks at Jackie Robinson,42,Jackie Robinson Park,60643,(312) 745-4041,07/17/2014 08:30:00 PM,07/17/2014 10:38:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Jackie-Robinson/,http://www.chicagoparkdistrict.com/parks/jackie-robinson-park/,Washington Heights,Yes,PG-13,"10540 S. Morgan St. Chicago IL 60643
Chicago, IL 60643
(41.70248795, -87.64756012)",13,72,22212,595,22,45
Movies in the Parks at Avalon,42,Avalon Park,60619,(312) 747-6015,07/25/2014 08:30:00 PM,07/25/2014 10:38:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Avalon1/,http://www.chicagoparkdistrict.com/parks/Avalon-Park/,Avalon Park,Yes,PG-13,"1215 E 83rd St Chicago, IL 60619
Chicago, IL 60619
(41.7440567, -87.59574127)",61,41,21546,133,35,9
Movies in the Parks at Rogers,Gravity,Rogers Park,60645,(773) 381-6274,06/25/2014 09:00:00 PM,06/25/2014 10:31:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Rogers/,http://www.chicagoparkdistrict.com/parks/Rogers-Park/,West Ridge,Yes,PG-13,"7345 N. Washtenaw Ave. Chicago IL 60645
Chicago, IL 60645
(42.01504517, -87.69725037)",12,20,22528,359,27,42
Movies in the Parks at Heritage Green,Ghostbusters,Heritage Green Park,60606,(312) 746-5494,08/05/2014 08:00:00 PM,08/05/2014 09:47:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Heritage-Green/,http://www.chicagoparkdistrict.com/parks/heritage-green-park/,Near West Side,Yes,PG,"610-30 W. Adams St. Chicago IL 60606
Chicago, IL 60606
(41.87962341, -87.64317322)",45,29,4452,786,36,48
Movies in the Parks at Cricket Hill,True Grit,Lincoln Park,60614,(312) 742-7726 ,08/11/2014 08:00:00 PM,08/11/2014 10:08:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Cricket-Hill4/,http://www.chicagoparkdistrict.com/parks/lincoln-park/,Lincoln Park,Yes,NR,"2045 N Lincoln Park West Chicago IL 60614
Chicago, IL 60614
(41.928495, -87.636008)",16,68,21190,101,34,51
Movies in the Parks at Hermitage,The Amazing Spider-Man,Hermitage Park,60636,(312) 747-6179 ,07/08/2014 08:30:00 PM,07/08/2014 10:46:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hermitage1/,http://www.chicagoparkdistrict.com/parks/Hermitage-Park/,West Englewood,Yes,PG-13,"5839 S. Wood St. Chicago IL 60636
Chicago, IL 60636
(41.78759766, -87.6692276)",23,65,22257,385,3,44
Movies in the Parks at Golden Gate,Man of Steel,Golden Gate Park,60627,(312) 747-6047 ,08/22/2014 08:00:00 PM,08/22/2014 10:28:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Golden-Gate1/,http://www.chicagoparkdistrict.com/parks/Golden-Gate-Park/,Riverdale,Yes,PG-13,"13000 S. Eberhart Ave. Chicago IL 60627
Chicago, IL 60627
(41.65910339, -87.61064911)",47,51,4460,9,43,30
Movies in the Parks at Webster,The Croods,Daniel Webster Park,60605,(312) 257-4486,07/29/2014 08:30:00 PM,07/29/2014 10:08:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Webster/,http://www.chicagoparkdistrict.com/parks/daniel-webster-park/,Near South Side,Yes,PG,"1401 S Indiana Ave Chicago, IL 60605
Chicago, IL 60605
(41.86395645, -87.62201691)",35,34,14913,374,9,48
@home Documentary at Berger,@home,Berger Park Cultural Center,60660,(773) 761-0376,06/03/2014 07:00:00 PM,06/03/2014 08:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-home-Documentary-at-Berger/,http://www.chicagoparkdistrict.com/parks/Berger-Park-Cultural-Center/,Edgewater,No,NR,"6205 N Sheridan Rd Chicago, IL 60660
Chicago, IL 60660
(41.99475861, -87.65554047)",14,76,4451,45,16,40
Movies in the Parks at Buttercup,Beasts of the Southern Wild,Buttercup Playlot Park,60640,(312) 742-7522 ,06/24/2014 09:00:00 PM,06/24/2014 10:34:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Buttercup/,http://www.chicagoparkdistrict.com/parks/Buttercup-Playlot-Park/,Uptown,Yes,PG-13,"4901 N Sheridan Rd Chicago, IL 60640
Chicago, IL 60640
(41.97158432, -87.65485382)",15,31,22616,635,16,40
