 EventName , MovieName,ParkName, ZipCode, Phone, StartDate, EndDate, ContactName, ContactEmail, EventUrl, ParkUrl, Community, MovieClosedCaption, MovieRating,Location 1,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Night Out: Movies in the Parks at Taylor-Lauridsen,Jurassic Park,Taylor-Lauridsen Playground Park,60609,(312) 747-6729,07/24/2015 08:30:00 PM,07/24/2015 10:37:00 PM,Tricia Boruta,tricia.boruta@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Taylor-Lauridsen1/,http://www.chicagoparkdistrict.com/parks/Taylor-Lauridsen-Playground-Park/,New City,Yes,PG-13,"704 W. 42nd St. Chicago IL 60609
Chicago, IL 60609
(41.81760025, -87.64348602)",37,59,14924,123,48,26
Night Out: Movies in the Parks at Fulton River,Gravity,Park No. 551,60611,(312) 742-7895 ,06/22/2015 08:30:00 PM,06/22/2015 10:01:00 PM,Joyce Herron   (Seward),Joyce.Herron@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Fulton-River5/,http://www.chicagoparkdistrict.com/parks/Park-No-551/,Near West Side,Yes,PG-13,"353 N. DesPlaines St. Chicago IL 60611
Chicago, IL 60611
(41.88835526, -87.64409637)",45,29,4452,784,36,22
Night Out: Movies in the Parks at Foster,Captain America: The Winter Soldier,Foster Park,60620,(312) 747-6135,08/28/2015 08:00:00 PM,08/28/2015 10:04:00 PM,Anita Gueringer,anita.gueringer@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Foster/,http://www.chicagoparkdistrict.com/parks/Foster-Park/,Auburn Gresham,Yes,PG-13,"1440 W 84th St Chicago, IL 60620
Chicago, IL 60620
(41.74170303, -87.66001129)",59,70,21554,531,13,18
Night Out: Movies in the Parks at DuSable Museum,Roll Bounce,Washington Park,60637,(773) 256-1248,08/15/2015 08:00:00 PM,08/15/2015 09:52:00 PM,Janie M. Collins,janie.collins@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-DuSable-Museum6/,http://www.chicagoparkdistrict.com/parks/washington-park/,Washington Park,Yes,PG-13,"5531 S. Martin Luther King Dr. Chicago, IL 60637
Chicago, IL 60637
(41.79378891, -87.61591339)",60,7,22260,401,4,53
Night Out: Movies in the Parks at Clarendon,The Goonies,Clarendon Park Community Center,60640,(312) 742-7512,07/17/2015 08:30:00 PM,07/17/2015 10:24:00 PM,Michael Brown,michael.brown@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Clarendon1/,http://www.chicagoparkdistrict.com/parks/Clarendon-Park-Community-Center/,Uptown,Yes,PG,"4501 N. Clarendon Ave. Chicago IL 60640
Chicago, IL 60640
(41.96364594, -87.64994812)",15,31,22616,636,39,37
Night Out: Movies in the Parks at Calumet,The Lego Movie,Calumet Park,60617,(312) 747-6039,07/13/2015 08:30:00 PM,07/13/2015 10:10:00 PM,Erin McGuire,erin.mcguire@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Calumet9/,http://www.chicagoparkdistrict.com/parks/Calumet-Park/,East Side,Yes,PG,"9801 S Avenue G Chicago, IL 60617
Chicago, IL 60617
(41.71755765, -87.53148079)",25,49,21202,705,47,47
Night Out: Movies in the Parks at Clark (John),X-Men: Days of Future Past,Clark (John) Park,60644,(773) 287-7794,07/06/2015 08:30:00 PM,07/06/2015 10:41:00 PM,Marques Johnson,marques.johnson@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Clark-John1/,http://www.chicagoparkdistrict.com/parks/Clark-John-Park/,Austin,Yes,PG-13,"4615 W. Jackson Blvd. Chicago IL 60644
Chicago, IL 60644
(41.8767395, -87.7410202)",32,26,22216,69,23,36
Night Out: Movies in the Parks at Calumet,Homeward Bound,Calumet Park,60617,(312) 747-6039,06/29/2015 08:30:00 PM,06/29/2015 09:54:00 PM,Erin McGuire,erin.mcguire@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Calumet7/,http://www.chicagoparkdistrict.com/parks/Calumet-Park/,East Side,Yes,G,"9801 S Avenue G Chicago, IL 60617
Chicago, IL 60617
(41.71755765, -87.53148079)",25,49,21202,705,47,47
Night Out: Movies in the Parks at South Shore,Grease,South Shore Cultural Center,60649,(773) 256-0149,08/19/2015 08:00:00 PM,08/19/2015 09:50:00 PM,Andrea Adams,andrea.adams@chicagopark.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-South-Shore9/,http://www.chicagoparkdistrict.com/parks/South-Shore-Cultural-Center/,South Shore,Yes,PG,"7059 S. South Shore Dr. Chicago IL 6064960649
(41.76674652, -87.56651306)",24,39,22538,142,33,32
Night Out: Movies in the Parks at Montgomery Ward,Frozen Sing-A-Long,"Ward, A. Montgomery Park",60606,(312) 742-7895,08/25/2015 08:00:00 PM,08/25/2015 09:48:00 PM,Joyce Freeman-Herron,joyce.herron@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Montgomery-Ward19/,http://www.chicagoparkdistrict.com/parks/Ward-A-Montgomery-Park/,Near North Side,Yes,PG,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)",55,37,4446,652,36,22
Night Out: Movies in the Parks at Rowan,Jumanji,Rowan Park,60617,(773) 646-3180,08/20/2015 08:30:00 PM,08/20/2015 10:30:00 PM,Heather Kelly,heather.kelly@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Rowan1/,http://www.chicagoparkdistrict.com/parks/Rowan-Park/,East Side,N/A,PG,"11546 S. Avenue L Chicago IL 60617
Chicago, IL 60617
(41.68553543, -87.53646851)",25,49,21202,603,47,47
Night Out: Movies in the Parks at Fulton River,Grease,Park No. 551,60611,(312) 742-7895 ,08/24/2015 08:00:00 PM,08/24/2015 09:50:00 PM,Joyce Herron   (Seward),Joyce.Herron@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Fulton-River6/,http://www.chicagoparkdistrict.com/parks/Park-No-551/,Near West Side,Yes,PG-13,"353 N. DesPlaines St. Chicago IL 60611
Chicago, IL 60611
(41.88835526, -87.64409637)",45,29,4452,784,36,22
Night Out: Movies in the Parks at Steelworkers,The Hunger Games,Steelworkers Park ,60619,(312) 742-6651,08/16/2015 08:00:00 PM,08/16/2015 10:22:00 PM,Russel Square Park,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Steelworkers/,http://www.chicagoparkdistrict.com/parks/steelworkers-park-/,South Chicago,Yes,PG-13,"East 87th at Lake Michigan Chicago IL 60619
Chicago, IL 60619
(41.73539783, -87.52882004)",,,21202,505,,
Night Out: Movies in the Parks at Chase,Bill and Ted's Excellent Adventure,Chase Park,60640,(312) 742-7518,08/27/2015 08:00:00 PM,08/27/2015 10:00:00 PM,Katie Fearon-Peon,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chase4/,http://www.chicagoparkdistrict.com/parks/Chase-Park/,Uptown,N/A,PG,"4701 N. Ashland Ave. Chicago IL 60640
Chicago, IL 60640
(41.96714783, -87.66930389)",15,31,22616,559,18,13
Night Out: Movies in the Parks at Dunham,Spare Parts,Dunham Park,60630,(773) 685-3257,06/30/2015 08:30:00 PM,06/30/2015 10:26:00 PM,Dan White,daniel.white@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Dunham1/,http://www.chicagoparkdistrict.com/parks/Dunham-Park/,Portage Park,N/A,PG-13,"4638 N. Melvina Ave. Chicago IL 60630
Chicago, IL 60630
(41.96598053, -87.78197479)",48,15,21869,95,19,25
Night Out: Movies in the Parks at Chicago Women's,Big Hero 6,Chicago Women's Park and Gardens,60616,(312) 328-0821,07/28/2015 08:30:00 PM,07/28/2015 10:12:00 PM,Sarah Unz,sarah.unz@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chicago-Womens3/,http://www.chicagoparkdistrict.com/parks/Chicago-Womens-Park-and-Gardens/,Near South Side,Yes,PG,"1801 S Indiana Ave Chicago, IL 60616
Chicago, IL 60616
(41.85781097, -87.62203979)",40,34,21194,374,9,48
Night Out: Movies in the Parks at Chase,Sixteen Candles,Chase Park,60640,(312) 742-7518,07/23/2015 08:00:00 PM,07/23/2015 10:00:00 PM,Katie Fearon-Peon,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chase3/,http://www.chicagoparkdistrict.com/parks/Chase-Park/,Uptown,N/A,R,"4701 N. Ashland Ave. Chicago IL 60640
Chicago, IL 60640
(41.96714783, -87.66930389)",15,31,22616,559,18,13
Night Out: Movies in the Parks at Graver,The Boxtrolls,Graver Park,60643,(312) 747-6163 ,06/25/2015 08:30:00 PM,06/25/2015 10:06:00 PM,Laura Casey,Laura.Casey@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Graver1/,http://www.chicagoparkdistrict.com/parks/Graver-Park/,"Morgan Park, Beverly",Yes,PG,"1518 W. 102nd Pl. Chicago IL 60643
Chicago, IL 60643
(41.70744705, -87.66044617)",13,71,22212,628,42,33
Night Out: Movies in the Parks at Loyola,The Lego Movie,Loyola Park,60626,(773) 262-8605,07/11/2015 08:30:00 PM,07/11/2015 10:10:00 PM,Mary Hopkins,mary.hopkins@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Loyola4/,http://www.chicagoparkdistrict.com/parks/Loyola-Park/,"Rogers Park, Grand Boulevard",Yes,PG,"1230 W. Greenleaf Ave. Chicago IL 60626
Chicago, IL 60626
(42.01041412, -87.66117859)",9,10,21853,267,5,3
Night Out: Movies in the Parks at Tilton,Selma,Tilton Park,60624,(773) 287-0806,06/26/2015 08:30:00 PM,06/26/2015 10:38:00 PM,Cherry Bullock,cherry.bullock@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Tilton1/,http://www.chicagoparkdistrict.com/parks/Tilton-Park/,West Garfield Park,Yes,PG-13,"305 N. Kostner Ave. Chicago IL 60624
Chicago, IL 60624
(41.88605499, -87.73561859)",30,27,21572,619,23,11
Night Out: Movies in the Parks at South Shore,The Wiz,South Shore Cultural Center,60649,(773) 256-0149,08/26/2015 08:00:00 PM,08/26/2015 10:14:00 PM,Andrea Adams,andrea.adams@chicagopark.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-South-Shore10/,http://www.chicagoparkdistrict.com/parks/South-Shore-Cultural-Center/,South Shore,Yes,G,"7059 S. South Shore Dr. Chicago IL 6064960649
(41.76674652, -87.56651306)",24,39,22538,142,33,32
Night Out: Movies in the Parks at Senka,Teenage Mutant Ninja Turtles (2014),Senka Park,60629,(312) 747-4386,08/18/2015 08:00:00 PM,08/18/2015 09:41:00 PM,Maria Abreu,maria.abreu@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Senka1/,http://www.chicagoparkdistrict.com/parks/Senka-Park/,Gage Park,Yes,PG-13,"5656 S. St. Louis Ave. Chicago IL 60629
Chicago, IL 60629
(41.79055023, -87.71083069)",58,61,21867,801,8,49
Night Out: Movies in the Parks at Douglas,Strange Magic,Douglas Park,60623,(773) 762-2842,08/04/2015 08:00:00 PM,08/04/2015 09:39:00 PM,Angela Sallis ,angela.sallis@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Douglas2/,http://www.chicagoparkdistrict.com/parks/douglas-park/,North Lawndale,Yes,PG,"1401 S. Sacramento Dr. Chicago IL 60623
Chicago, IL 60623
(41.86323547, -87.70204926)",57,30,21569,132,14,36
Night Out: Movies in the Parks at Lake Meadows,Back to the Future Part II,Lake Meadows Park,60616,(312) 747-6287,07/13/2015 08:30:00 PM,07/13/2015 10:18:00 PM,Donald Serio,donald.serio@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Lake-Meadows2/,http://www.chicagoparkdistrict.com/parks/Lake-Meadows-Park/,Douglas,Yes,PG,"3117 S. Rhodes Ave. Chicago IL 60616
Chicago, IL 60616
(41.83804321, -87.61347198)",40,1,21194,581,10,1
Night Out: Movies in the Parks at Bauler,How to Train Your Dragon 2,Bauler Playlot Park,60614,(312) 742-7898 ,06/12/2015 08:30:00 PM,06/12/2015 10:12:00 PM,Adele Bach (Oz Park),,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Bauler/,http://www.chicagoparkdistrict.com/parks/Bauler-Playlot-Park/,Lincoln Park,Yes,PG,"501 W Wisconsin St Chicago, IL 60614
Chicago, IL 60614
(41.91645432, -87.64118195)",16,68,21190,208,34,51
Night Out: Movies in the Parks at Fosco,Rio 2,Fosco Park,60608,(312) 746-5086,08/14/2015 08:00:00 PM,08/14/2015 09:41:00 PM,Obi Allmon,obi.allmon@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Fosco2/,http://www.chicagoparkdistrict.com/parks/fosco-park/,Near West Side,Yes,G,"1312 S. Racine Ave, Chicago IL 60608
Chicago, IL 60608
(41.86500168, -87.6566391)",43,29,14920,760,26,48
Night Out: Movies in the Parks at Green Briar,Night at the Museum: Secret of the Tomb,Green Briar Park,60659,(773) 761-0582,08/07/2015 08:00:00 PM,08/07/2015 09:38:00 PM,Timothy Gibson,timothy.gibson@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Green-Briar1/,http://www.chicagoparkdistrict.com/parks/Green-Briar-Park/,West Ridge,Yes,PG,"2650 W. Peterson Ave. Chicago IL 60659
Chicago, IL 60659
(41.99058914, -87.69587708)",50,20,4450,31,24,42
Night Out: Movies in the Parks at Oz,The Wizard of Oz,Oz Park,60614,(312) 742-7898,08/23/2015 08:00:00 PM,08/23/2015 09:41:00 PM,Adele Bach,adele.bach@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Oz9/,http://www.chicagoparkdistrict.com/parks/Oz-Park/,Lincoln Park,Yes,G,"2021 N. Burling St. Chicago IL 60614
Chicago, IL 60614
(41.92099187, -87.64469862)",16,68,21190,798,34,51
Night Out: Movies in the Parks at Garfield Conserv,"Honey, I Shrunk the Kids",Garfield Park Conservatory,60624,(773) 638-1766,06/17/2015 08:30:00 PM,06/17/2015 09:56:00 PM,Mary Eysenbach,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Garfield-Conserv/,http://www.chicagoparkdistrict.com/parks/garfield-park-conservatory/,East Garfield Park,Yes,PG,"300 N Central Park Ave Chicago, IL 60624
Chicago, IL 60624
(41.88751984, -87.71611023)",30,28,21572,176,23,11
Night Out: Movies in the Parks at Calumet,A Latino Film Festival Selection,Calumet Park,60617,(312) 747-6039,07/08/2015 08:30:00 PM,07/08/2015 10:30:00 PM,Erin McGuire,erin.mcguire@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Calumet8/,http://www.chicagoparkdistrict.com/parks/Calumet-Park/,East Side,Yes,NR,"9801 S Avenue G Chicago, IL 60617
Chicago, IL 60617
(41.71755765, -87.53148079)",25,49,21202,705,47,47
Night Out: Movies in the Parks at Broncho Billy,Strange Magic,Broncho Billy Playlot Park,60640,(312) 742-7802 ,07/02/2015 08:30:00 PM,07/02/2015 10:10:00 PM,Robert Geraghty  (Gill Park),robert.geraghty@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Broncho-Billy1/,http://www.chicagoparkdistrict.com/parks/Broncho-Billy-Playlot-Park/,Uptown,N/A,PG,"4437 N Magnolia Ave Chicago, IL 60640
Chicago, IL 60640
(41.96285248, -87.66093445)",15,31,22616,611,39,37
Night Out: Movies in the Parks at Peterson,The Boxtrolls,Peterson Park,60646,(312) 742-7584,06/19/2015 08:30:00 PM,06/19/2015 10:06:00 PM,Kiala Moore,kiala.moore@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Peterson1/,http://www.chicagoparkdistrict.com/parks/Peterson-Park/,North Park,Yes,PG,"5801 N. Pulaski Rd. Chicago IL 60646
Chicago, IL 60646
(41.98551559, -87.7227478)",50,13,22532,747,38,28
Night Out: Movies in the Parks at Hermosa,A Latino Film Festival Selection,Hermosa Park,60639,(312) 742-7540 ,07/29/2015 08:30:00 PM,07/29/2015 10:30:00 PM,Cirilo Gonzalez,cirilo.gonzalez@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hermosa4/,http://www.chicagoparkdistrict.com/parks/Hermosa-Park/,Hermosa,Yes,NR,"2240 N. Kilbourn Ave. Chicago IL 60639
Chicago, IL 60639
(41.92153931, -87.73892212)",2,21,22615,75,44,7
Night Out: Movies in the Parks at Indian Boundary,"Looney Tunes Collection (Corny Concerto, Foney Fables, Hollywood Steps Out, Little Red Riding Rabbit, Rabbit of Seville, Rocket Bye Baby, Bugs' Bonnets)",Indian Boundary Park,,(773) 764.0338,07/24/2015 08:30:00 PM,07/24/2015 09:30:00 PM,Phil Martini ,phil.martini@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Indian-Boundary1/,http://www.chicagoparkdistrict.com/parks/indian-boundary-park/,West Ridge,No,NR,"2500 W. Lunt Ave., Chicago IL 60645
Chicago, IL
(42.0086174, -87.69226074)",12,20,22528,42,27,42
Night Out: Movies in the Parks at Hayes,Get On Up,Hayes Park,60652,(312) 747-6177,08/06/2015 08:00:00 PM,08/06/2015 10:19:00 PM,Tim Greer,Tim.Greer@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hayes2/,http://www.chicagoparkdistrict.com/parks/Hayes-Park/,Ashburn,Yes,PG-13,"2936 W. 85th St. Chicago IL 60652
Chicago, IL 60652
(41.73907852, -87.69678497)",8,69,4300,217,30,6
Night Out: Movies in the Parks at Piotrowski,A Latino Film Festival Selection,Piotrowski Park,60623,(312) 747-6608 ,07/15/2015 08:30:00 PM,07/15/2015 10:30:00 PM,Andrew Del Rivero ,andrew.delrivero@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Piotrowski5/,http://www.chicagoparkdistrict.com/parks/Piotrowski-Park/,South Lawndale,Yes,NR,"4247 W. 31st St. Chicago IL 60623
Chicago, IL 60623
(41.8367424, -87.730896)",57,32,21569,200,28,14
Night Out: Movies in the Parks at Dunbar,Annie (2014),Dunbar Park,60616,(312) 747-5962,08/13/2015 08:00:00 PM,08/13/2015 09:58:00 PM,Don Serio,donald.serio@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Dunbar4/,http://www.chicagoparkdistrict.com/parks/Dunbar-Park/,Douglas,Yes,PG,"300 E. 31st St. Chicago IL 60616
Chicago, IL 60616
(41.83839417, -87.62062836)",40,1,21194,191,10,48
Night Out: Movies in the Parks at Kedvale,Maleficent,Kedvale Park,60651,(312) 742-7543,06/16/2015 08:30:00 PM,06/16/2015 10:07:00 PM,Daniel Hernandez,daniel.hernandez@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Kedvale2/,http://www.chicagoparkdistrict.com/parks/Kedvale-Park/,Humboldt Park,Yes,PG,"4134 W. Hirsch St. Chicago IL 60651
Chicago, IL 60651
(41.90628052, -87.73006439)",5,24,4299,286,49,4
Night Out: Movies in the Parks at Chicago History,Wayne's World,Lincoln Park,60614,(312) 742-7726 ,07/21/2015 08:30:00 PM,07/21/2015 10:04:00 PM,Lauren Quinn,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chicago-History5/,http://www.chicagoparkdistrict.com/parks/lincoln-park/,Lincoln Park,No,PG-13,"2045 N Lincoln Park West Chicago IL 60614
Chicago, IL 60614
(41.928495, -87.636008)",16,68,21190,101,34,51
Night Out: Movies in the Parks at Loyola,A Latino Film Festival Selection,Loyola Park,60626,(773) 262-8605,08/05/2015 08:00:00 PM,08/05/2015 10:00:00 PM,Mary Hopkins,mary.hopkins@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Loyola5/,http://www.chicagoparkdistrict.com/parks/Loyola-Park/,"Rogers Park, Grand Boulevard",Yes,NR,"1230 W. Greenleaf Ave. Chicago IL 60626
Chicago, IL 60626
(42.01041412, -87.66117859)",9,10,21853,267,5,3
Night Out: Movies in the Parks at Haas,Strange Magic,Haas Park,60647,(312) 742-7552 ,07/21/2015 08:15:00 PM,07/21/2015 10:00:00 PM,Joe Henry,joe.henry@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Haas2/,http://www.chicagoparkdistrict.com/parks/Haas-Park/,Logan Square,N/A,PG,"2402 N. Washtenaw Ave. Chicago IL 60647
Chicago, IL 60647
(41.92525609, -87.6952435)",1,23,22535,468,41,24
Night Out: Movies in the Parks at Pulaski,The Lego Movie,Pulaski Park,60642,(312) 742-7559,07/25/2015 08:30:00 PM,07/25/2015 10:10:00 PM,James Boldt,james.boldt@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Pulaski2/,http://www.chicagoparkdistrict.com/parks/Pulaski-Park/,West Town,Yes,PG,"1419 W. Blackhawk St. Chicago IL 60642
Chicago, IL 60642
(41.90703583, -87.66342163)",49,25,22620,483,11,16
